检查分类,检查子分类,检查项,检查内容,质量级别,处理方式,处理结果
4.1 需求设计与检查,4.1.1 需求变更影响,4.1.1.1 变更应该遵守职责单一原则，避免大范围的修改,每次提交只做一件事；单个类/方法不承担多个职责；变更只影响一小块功能，影响面可控,Critical,Sonar/AI/人工,
4.1 需求设计与检查,4.1.1 需求变更影响,4.1.1.2 变更修改应该向后兼容，不破坏现有功能,不删除或重构对外接口；不移除或更改已有字段、类、接口；不更改默认行为,Critical,Sonar/回归测试/API比对工具,
4.1 需求设计与检查,4.1.1 需求变更影响,4.1.1.3 变更应该有完善的回滚和灰度机制,有功能开关控制新功能；有数据库变更的回滚脚本；支持灰度发布和快速回滚,Critical,配置文件检查/脚本检查,
4.1 需求设计与检查,4.1.2 设计与需求匹配检查,4.1.2.1 设计方案应该是需求匹配、成本、可行性的最佳平衡,设计满足需求；成本可控；技术可行；满足非功能性需求,Critical,方案评审/人工,
4.1 需求设计与检查,4.1.2 设计与需求匹配检查,4.1.2.2 代码变更应该与需求声明一致,代码实现与需求规格一致；无需求蔓延；需求可追溯,Critical,需求追踪/代码审查,
4.1 需求设计与检查,4.1.2 设计与需求匹配检查,4.1.2.3 架构设计一致性检查,确保代码实现遵循预定义的分层架构；验证设计模式的正确应用；接口设计与架构文档一致,Critical,架构合规性检查/依赖关系分析,
4.1 需求设计与检查,4.1.2 设计与需求匹配检查,4.1.2.4 非功能性需求实现检查,验证性能需求的实现；检查安全需求的实现；确保可维护性需求的实现,Critical,性能测试/安全代码审查/代码复杂度分析,
4.1 需求设计与检查,4.1.3 文档完整性检查,4.1.3.1 API文档与代码实现保持一致,API接口文档完整；与代码实现一致；包含必要参数说明,Major,文档审查/自动化工具,
4.1 需求设计与检查,4.1.3 文档完整性检查,4.1.3.2 代码注释完整性检查,所有公共类和方法都有JavaDoc注释；复杂逻辑有详细的解释注释；TODO和FIXME标记有明确的任务描述,Major,JavaDoc检查工具/代码审查,
4.1 需求设计与检查,4.1.3 文档完整性检查,4.1.3.3 变更文档完整性检查,每次代码变更都有详细的变更日志记录；版本发布有完整的版本说明文档；重大变更提供详细的迁移指南,Major,Git提交信息检查/文档完整性验证,
4.1 需求设计与检查,4.1.4 逻辑完整性检查,4.1.4.1 业务逻辑分支覆盖完整,业务逻辑分支完整；处理所有可能的情况；有默认处理逻辑,Critical,代码审查/单元测试,
4.1 需求设计与检查,4.1.4 逻辑完整性检查,4.1.4.2 边界条件处理检查,所有输入参数的边界值都被正确处理；数组、集合等数据结构的边界访问安全；数值计算中的边界情况处理,Critical,边界值测试/静态代码分析,
4.1 需求设计与检查,4.1.4 逻辑完整性检查,4.1.4.3 异常处理完整性检查,所有可能的异常都被适当处理；异常处理策略的选择合适；所有资源都正确关闭，避免泄漏,Critical,静态代码分析/资源泄漏检测,
4.1 需求设计与检查,4.1.4 逻辑完整性检查,4.1.4.4 并发安全性检查,共享资源的线程安全访问；防止业务逻辑中的竞态条件；分布式环境下的并发控制,Critical,并发测试工具/静态代码分析,
4.1 需求设计与检查,4.1.4 逻辑完整性检查,4.1.4.5 事务一致性检查,事务边界正确定义；事务隔离级别设置合理；确保事务回滚机制正确实现,Critical,事务边界分析/数据库事务日志分析,
4.2 代码结构与组织检查,4.2.1 代码规范检查,4.2.1.1 注释完整性检查,类、方法有完整注释；复杂逻辑有解释性注释；注释与代码保持一致,Major,Sonar/代码审查,
4.2 代码结构与组织检查,4.2.1 代码规范检查,4.2.1.2 代码分层结构检查,遵循分层架构；层间依赖正确；避免跨层调用,Major,架构检查工具/代码审查,
4.2 代码结构与组织检查,4.2.1 代码规范检查,4.2.1.3 硬编码检查,避免硬编码常量；敏感信息配置化；国际化文本外部化,Major,静态代码分析/Sonar,
4.2 代码结构与组织检查,4.2.1 代码规范检查,4.2.1.4 代码格式化工具检查,使用统一的代码格式化工具；代码风格一致；符合团队编码规范,Major,格式化工具/代码风格检查,
4.2 代码结构与组织检查,4.2.2 模块化与依赖管理检查,4.2.2.1 代码模块和类的划分检查,模块职责单一；避免过大类和方法；功能内聚合理,Critical,复杂度分析/代码审查,
4.2 代码结构与组织检查,4.2.2 模块化与依赖管理检查,4.2.2.2 接口和抽象类使用检查,合理使用接口和抽象类；遵循面向接口编程；依赖倒置原则,Critical,代码审查/架构分析,
4.2 代码结构与组织检查,4.2.2 模块化与依赖管理检查,4.2.2.3 第三方组件管理检查,第三方依赖版本管理；避免依赖冲突；安全漏洞检查,Critical,依赖分析工具/安全扫描,
4.2 代码结构与组织检查,4.2.3 架构设计检查,4.2.3.1 设计模式恰当性检查,设计模式使用恰当；避免过度设计；模式实现正确,Major,代码审查/架构评审,
4.2 代码结构与组织检查,4.2.4 默认配置安全检查,4.2.4.1 默认账户和密码安全检查,避免默认账户；密码强度检查；避免硬编码凭证,Critical,安全扫描/配置审查,
4.2 代码结构与组织检查,4.2.4 默认配置安全检查,4.2.4.2 安全功能默认启用检查,安全功能默认开启；敏感操作默认需授权；默认最小权限原则,Critical,配置审查/安全测试,
4.2 代码结构与组织检查,4.2.4 默认配置安全检查,4.2.4.3 敏感信息配置检查,敏感信息加密存储；避免明文配置；访问控制合理,Critical,配置审查/安全扫描,
4.3 线程安全与并发检查,4.3.1 线程池配置检查,4.3.1.1 线程池参数配置检查,线程池核心线程数、最大线程数、队列容量配置合理；避免线程资源耗尽,Critical,配置检查/压力测试,
4.3 线程安全与并发检查,4.3.1 线程池配置检查,4.3.1.2 线程池监控和管理检查,线程池状态监控；任务执行异常处理；线程池优雅关闭,Critical,监控审查/代码审查,
4.3 线程安全与并发检查,4.3.2 Spring并发问题检查,4.3.2.1 单例Bean线程安全检查,单例Bean中的共享变量线程安全；避免可变状态；正确使用同步机制,Critical,代码审查/静态分析,
4.3 线程安全与并发检查,4.3.2 Spring并发问题检查,4.3.2.2 异步方法使用检查,异步方法参数传递安全；异常处理完善；返回值处理正确,Critical,代码审查/并发测试,
4.3 线程安全与并发检查,4.3.3 并发控制检查,4.3.3.1 同步机制使用检查,同步机制使用正确；避免死锁；减少锁粒度,Critical,静态分析/代码审查,
4.4 数据处理检查,4.4.1 数据持久化与完整性检查,4.4.1.1 事务边界正确性检查,事务边界定义合理；事务隔离级别设置正确；包含必要的回滚机制,Critical,代码审查/静态分析,
4.4 数据处理检查,4.4.1 数据持久化与完整性检查,4.4.1.2 数据校验完整性检查,输入数据有完整验证；敏感字段有脱敏处理；防止SQL注入,Critical,代码审查/安全扫描,
4.4 数据处理检查,4.4.1 数据持久化与完整性检查,4.4.1.3 ORM映射检查,ORM映射配置正确；懒加载使用合理；级联操作设置合适,Major,代码审查/性能测试,
4.4 数据处理检查,4.4.2 SQL查询优化检查,4.4.2.1 索引使用合理性检查,查询条件有索引覆盖；避免索引失效；复合索引顺序合理,Critical,执行计划分析/性能测试,
4.4 数据处理检查,4.4.2 SQL查询优化检查,4.4.2.2 大数据量查询优化检查,分页查询实现正确；大结果集处理优化；长事务拆分,Critical,性能测试/代码审查,
4.4 数据处理检查,4.4.2 SQL查询优化检查,4.4.2.3 N+1查询问题检查,避免循环中查询；使用JOIN优化；批量获取数据,Critical,性能测试/代码审查,
4.5 状态管理检查,4.5.1 状态一致性检查,4.5.1.1 状态转换完整性检查,状态定义完整；状态转换规则明确；处理异常状态转换,Critical,代码审查/单元测试,
