,,,,,,,,,,,
,,,,,,,,,,,
,检查分类,子分类,检查项,检查要求,,,,,,,
,需求与设计,影响分析,控制变更影响范围,"1、变更应该尽可能的影响小
2、应该有备份，回滚方案（严格的流程机制）
3、借助合理的开关、灰度测试机制",,,,,,,
,,设计与需求的匹配,设计的方案应该是在需求匹配、成本、可行性的相对最佳方案,1、对比可能方案，是否有更合理，可行的方案,,,,,,,
,,,代码的所做的变更是否和需求的声明一致,,,,,,,,
,,文档完整性,API文档，需求文档，变更文档，变更计划、用户指南、架构文档等规范，期权，一致,,,,,,,,
,,逻辑完整性,业务逻辑的分支应该尽可能的覆盖正常流程和异常情况的分支,,,,,,,,
,代码结构和组织,代码规范,注释完整性,关键逻辑、边界处理是否有清晰注释	,,,,,,,
,,,代码分层结构合理,代码结构层次清晰，单个文件职责单一,,,,,,,
,,,硬编码,使用配置或常量类,,,,,,,
,,,是否使用了统一格式化工具,"1、统一的强制化代码格式化工具
2、一直的代码风格的Rule（AI工具)",,,,,,,
,,模块化与依赖管理,代码模块和类的划分是否合理,是否符合模块边界/职责划分，耦合度是否合理,,,,,,,
,,,接口和抽象类是否合理使用,分析接口类和抽象类的抽象逻辑是否合理,,,,,,,
,,,第三方组件管理(新增的第三方的依赖Jar包是否明确、安全),"1、新增的第三方依赖jar包，必须经过审核（版权（Licence、稳定性、社区状态等）
2、版本冲突，安全漏洞等需要充分考虑（发版、和代码扫描解决）",,,,,,,
,,,最小化第三方依赖,减少攻击面,,,,,,,
,,,作为SDK提供给别人暴漏给别人的依赖要尽量隔离,"1、暴漏给别人的jar包要经过安全审核,非必要信息不暴漏，机密代码必须混淆、脱敏后才可
2、暴漏给别人的Jar，应该尽量不要把自己的依赖第三方的jar包，带给你的使用者。",,,,,,,
,,架构设计,设计模式恰当性,设计模式应用恰当，不过度设计,,,,,,,
,,其他,默认配置安全合理,"默认账户和密码必须禁用或更改
默认必须启用安全功能（如HTTPS、CSRF保护）
默认必须禁用不必要的功能和服务
配置文件不得包含敏感信息（如凭证、密钥）",,,,,,,
,线程安全与并发处理,线程池,自定义线程池,尽量使用自定义线程池,,,,,,,
